本出版物,阐述,对抗全过程中在电磁频谱以及通过电磁频谱展开的军事行动,553,554
司令部,_,和,555,0
职责,_,和,556,0
总部,_,和,557,0
关系,_,和,558,0
部队,_,和,559,0
本出版物,描述,和,553,0
关系,_,和,558,1
职责,_,和,556,1
它,构建,实施联合电磁频谱作战的框架,560,561
环境,_,所,562,2
行动,_,所,563,2
电磁频谱,是,所,564,2
环境,_,和,562,3
行动,_,和,563,3
各个方面,影响,和,565,3
夺取电磁频谱优势的战斗,持续,一个多世纪,566,567
民用,_,以及,568,4
军用,_,以及,569,4
依赖,_,以及,570,4
商用,_,以及,571,4
电磁频谱技术的发展,导致,以及,572,4
商用,_,和,571,5
民用,_,和,568,5
军用,_,和,569,5
和,依赖,于电磁频谱,5,573
民用,_,以及,568,6
军用,_,以及,569,6
商用,_,以及,571,6
以及,呈,指数级增长,6,574
成本,_,以及,575,7
依赖,_,以及,570,7
以及,构成,巨大的军事挑战,7,576
训练,_,和,577,8
行动,_,和,563,8
约束,_,和,578,9
需求,_,和,579,9
和,是,和,8,9
环境,具有,挑战性,562,580
战略,_,和,581,10
战术,_,和,582,10
战役,_,和,583,10
军事力量,取得,和,584,10
国,_,和,585,11
美国,_,和,586,11
军事力量,整合,联合电磁频谱作战,584,587
联合电磁频谱作战,提供,支持,587,588
联合电磁频谱作战,取得,预期目标,587,589
联合电磁频谱作战,达成,最终状态,587,590
消除,_,以及,591,12
进行,_,以及,592,12
实施联合电磁频谱作战,是,以及,593,12
消除,_,以及,591,13
进行,_,以及,592,13
危机,升级,武装冲突,594,595
危机,为,武装冲突,594,595
联合电磁频谱作战,夺取,电磁频谱优势,587,596
管理,_,和,597,14
攻击,_,和,598,14
防护,_,和,599,14
利用,_,和,600,14
联合电磁频谱作战,是,和,587,14
联合部队,采取,军事行动,601,602
接收,_,和,603,15
发射,_,和,604,15
电磁辐射,_,和,605,16
频率,_,和,606,16
磁场,_,和,607,16
电场,_,和,608,16
波长,_,和,609,16
电磁频谱,是,和,564,16
磁场,_,和,607,17
频率,_,和,606,17
电场,_,和,608,17
波长,_,和,609,17
电磁辐射,_,和,605,17
空间,组成,和,610,17
可见光,_,和,611,18
微波,_,和,612,18
辐射,_,和,613,18
X射线,_,和,614,18
无线电波,_,和,615,18
示,_,和,616,18
伽马射线,_,和,617,18
电磁频谱,包括,和,564,18
辐射,_,或,613,19
平台,_,或,618,19
传导,_,或,619,19
功率,_,或,620,19
系统,_,或,621,19
时间,_,或,622,19
力量,_,或,623,19
电磁环境,是,或,624,19
系统,_,或,621,20
平台,_,或,618,20
力量,_,或,623,20
或,完成,任务,20,625
力量,_,或,623,21
系统,_,或,621,21
平台,_,或,618,21
力量,_,或,623,22
系统,_,或,621,22
平台,_,或,618,22
联合部队遇到的所有电磁辐射,造成,影响,626,627
环境,_,和,562,23
潜在,_,和,628,23
影响,_,和,627,23
电磁辐射,_,和,605,23
决策,_,和,629,23
条件,_,和,630,23
因素,_,和,631,23
应用,_,和,632,23
实际,_,和,633,23
电磁作战环境,是,和,634,23
决策,_,和,629,24
应用,_,和,632,24
应用,_,和,632,25
决策,_,和,629,25
实际,_,和,633,25
电磁辐射,_,和,605,25
因素,_,和,631,25
条件,_,和,630,25
环境,_,和,562,25
影响,_,和,627,25
潜在,_,和,628,25
综合体,组成,和,635,25
辐射,_,以及,613,26
对手,_,以及,636,26
环境,_,以及,562,26
敌方,_,以及,637,26
己方,_,以及,638,26
系统,_,以及,621,26
中立方,_,以及,639,26
它,包括,以及,560,26
电磁区域,受,影响,640,627
敌方,_,和,637,27
对手,_,和,636,27
己方,_,和,638,27
中立方,_,和,639,27
和,进行,辐射,27,613
辐射,_,或,613,28
接收,_,或,603,28
系统,_,或,621,28
它们,影响,联合作战,641,642
电磁作战环境,具有,以下属性,634,643
电磁作战环境,是,物理环境的一部分,634,644
电磁辐射,是,一种物理现象,605,645
静电,_,和,646,29
发射机,_,和,647,29
电力线,_,和,648,29
地形,_,和,649,29
因素,_,和,631,29
海况,_,和,650,29
天气,_,和,651,29
条件,_,和,630,29
系统,_,以及,621,30
机构,_,以及,652,30
和,影响,以及,29,30
系统,_,和,621,31
机构,_,和,652,31
和,进行,电磁辐射,31,605
环境,包括,电磁作战环境在内,562,653
对手,_,和,636,32
敌方,_,和,637,32
军事力量,获得,和,584,32
敌方,_,和,637,33
对手,_,和,636,33
优势地位,优于,和,654,33
电磁频谱,渗透,作战环境各部分,564,655
军事力量,使用,电磁作战环境,584,634
军事力量,整合,其作战行动,584,656
军事力量,同步,其作战行动,584,656
军事力量,增强,其作战行动,584,656
现代军事行动,依赖,用频活动,657,658
通过电磁频谱作战形成的广泛效果,使,电磁频谱作战,659,660
电磁频谱作战,成为,强大的兵力倍增器,660,661
电磁频谱,包含,无限的频率,564,662
政策,_,以及,663,34
物理,_,以及,664,34
技术,_,以及,665,34
用于军事目的,受到,以及,666,34
电磁辐射,具有,独特的物理特征,605,667
通信,_,或,668,35
感知,_,或,669,35
短程,_,或,670,35
远程,_,或,671,35
这,决定,或,672,35
条约,_,和,673,36
法律,_,和,674,36
法规,_,和,675,36
电磁频谱的使用,遵守,和,676,36
接入,_,和,677,37
利用,_,和,600,37
技术,限制,和,665,37
技术能力的进步,拓展,电磁频谱的使用,678,676
军事,_,和,679,38
非军事,_,和,680,38
密度,_,和,681,39
数量,_,和,682,39
和,导致,和,38,39
数量,_,和,682,40
密度,_,和,681,40
联合部队,面临,电磁作战环境,601,634
联合部队面临的电磁作战环境,是,拥塞的,683,684
特性,_,和,685,41
技术,_,和,665,41
军事,_,和,679,42
民事,_,和,686,42
相邻,_,或,687,43
发射,_,或,604,43
相同,_,或,688,43
接收,_,或,603,43
和,寻求,或,42,43
媒体,_,和,689,44
互联网,_,和,690,44
提供商,_,和,691,44
手机,_,和,692,44
和,继续,拓展其电磁频谱带宽需求,44,693
互联网,_,和,690,45
媒体,_,和,689,45
手机,_,和,692,45
提供商,_,和,691,45
和,拓展,其电磁频谱带宽需求,45,694
手机,_,和,692,46
互联网,_,和,690,46
提供商,_,和,691,46
媒体,_,和,689,46
和,压缩,便于联合部队机动的开放的电磁区域,46,695
电磁区域,便于,联合部队机动,640,696
这种拥塞,导致,对接收机的电磁干扰(EMI),697,698
有意,_,或,699,47
无意,_,或,700,47
电磁干扰(EMI),是,或,701,47
无意,_,或,700,48
有意,_,或,699,48
或,造成,电磁扰动,48,702
装备,_,和,703,49
系统,_,和,621,49
设备,_,和,704,49
电磁干扰(EMI),限制,和,701,49
现代军事行动,依赖,电磁频谱,657,564
对手,_,和,636,50
敌方,_,和,637,50
和,是,拒止我们成功使用电磁频谱的能力,50,705
我们,使用,电磁频谱,706,564
武器,_,和,707,51
导弹,_,和,708,51
导弹,_,和,708,52
武器,_,和,707,52
接收机,_,和,709,53
发射机,_,和,647,53
和,削弱,和,52,53
武器,_,和,707,54
导弹,_,和,708,54
发射机,_,和,647,55
接收机,_,和,709,55
和,摧毁,和,54,55
威胁方,进行,发射,710,604
联合部队,面临,电磁作战环境,601,634
联合部队所面临的电磁作战环境,是,不断变化的,711,712
电磁频谱中的军事活动,使,指挥官,713,714
