本出版物,阐述,对抗全过程中在电磁频谱以及通过电磁频谱展开的军事行动,_,_
司令部,_,和,_,0
职责,_,和,_,0
总部,_,和,_,0
关系,_,和,_,0
部队,_,和,_,0
本出版物,描述,和,_,0
关系,_,和,_,1
职责,_,和,_,1
它,构建,实施联合电磁频谱作战的框架,_,_
环境,_,所,_,2
行动,_,所,_,2
电磁频谱,是,所,_,2
环境,_,和,_,3
行动,_,和,_,3
各个方面,影响,和,_,3
夺取电磁频谱优势的战斗,持续,一个多世纪,_,_
民用,_,以及,_,4
军用,_,以及,_,4
依赖,_,以及,_,4
商用,_,以及,_,4
电磁频谱技术的发展,导致,以及,_,4
商用,_,和,_,5
民用,_,和,_,5
军用,_,和,_,5
和,依赖,于电磁频谱,5,_
民用,_,以及,_,6
军用,_,以及,_,6
商用,_,以及,_,6
以及,呈,指数级增长,6,_
成本,_,以及,_,7
依赖,_,以及,_,7
以及,构成,巨大的军事挑战,7,_
训练,_,和,_,8
行动,_,和,_,8
约束,_,和,_,9
需求,_,和,_,9
和,是,和,8,9
环境,具有,挑战性,_,_
战略,_,和,_,10
战术,_,和,_,10
战役,_,和,_,10
军事力量,取得,和,_,10
国,_,和,_,11
美国,_,和,_,11
军事力量,整合,联合电磁频谱作战,_,_
联合电磁频谱作战,提供,支持,_,_
联合电磁频谱作战,取得,预期目标,_,_
联合电磁频谱作战,达成,最终状态,_,_
消除,_,以及,_,12
进行,_,以及,_,12
实施联合电磁频谱作战,是,以及,_,12
消除,_,以及,_,13
进行,_,以及,_,13
危机,升级,武装冲突,_,_
危机,为,武装冲突,_,_
联合电磁频谱作战,夺取,电磁频谱优势,_,_
管理,_,和,_,14
攻击,_,和,_,14
防护,_,和,_,14
利用,_,和,_,14
联合电磁频谱作战,是,和,_,14
联合部队,采取,军事行动,_,_
接收,_,和,_,15
发射,_,和,_,15
电磁辐射,_,和,_,16
频率,_,和,_,16
磁场,_,和,_,16
电场,_,和,_,16
波长,_,和,_,16
电磁频谱,是,和,_,16
磁场,_,和,_,17
频率,_,和,_,17
电场,_,和,_,17
波长,_,和,_,17
电磁辐射,_,和,_,17
空间,组成,和,_,17
可见光,_,和,_,18
微波,_,和,_,18
辐射,_,和,_,18
X射线,_,和,_,18
无线电波,_,和,_,18
示,_,和,_,18
伽马射线,_,和,_,18
电磁频谱,包括,和,_,18
辐射,_,或,_,19
平台,_,或,_,19
传导,_,或,_,19
功率,_,或,_,19
系统,_,或,_,19
时间,_,或,_,19
力量,_,或,_,19
电磁环境,是,或,_,19
系统,_,或,_,20
平台,_,或,_,20
力量,_,或,_,20
或,完成,任务,20,_
力量,_,或,_,21
系统,_,或,_,21
平台,_,或,_,21
力量,_,或,_,22
系统,_,或,_,22
平台,_,或,_,22
联合部队遇到的所有电磁辐射,造成,影响,_,_
环境,_,和,_,23
潜在,_,和,_,23
影响,_,和,_,23
电磁辐射,_,和,_,23
决策,_,和,_,23
条件,_,和,_,23
因素,_,和,_,23
应用,_,和,_,23
实际,_,和,_,23
电磁作战环境,是,和,_,23
决策,_,和,_,24
应用,_,和,_,24
应用,_,和,_,25
决策,_,和,_,25
实际,_,和,_,25
电磁辐射,_,和,_,25
因素,_,和,_,25
条件,_,和,_,25
环境,_,和,_,25
影响,_,和,_,25
潜在,_,和,_,25
综合体,组成,和,_,25
辐射,_,以及,_,26
对手,_,以及,_,26
环境,_,以及,_,26
敌方,_,以及,_,26
己方,_,以及,_,26
系统,_,以及,_,26
中立方,_,以及,_,26
它,包括,以及,_,26
电磁区域,受,影响,_,_
敌方,_,和,_,27
对手,_,和,_,27
己方,_,和,_,27
中立方,_,和,_,27
和,进行,辐射,27,_
辐射,_,或,_,28
接收,_,或,_,28
系统,_,或,_,28
它们,影响,联合作战,_,_
电磁作战环境,具有,以下属性,_,_
电磁作战环境,是,物理环境的一部分,_,_
电磁辐射,是,一种物理现象,_,_
静电,_,和,_,29
发射机,_,和,_,29
